iters	scheduling	tab_size	time
8	dynamic,64	2000000	0m0.022s
9	dynamic,64	2000000	0m0.021s
0	dynamic,64	20000000	0m0.086s
1	dynamic,64	20000000	0m0.086s
2	dynamic,64	20000000	0m0.095s
3	dynamic,64	20000000	0m0.087s
4	dynamic,64	20000000	0m0.094s
5	dynamic,64	20000000	0m0.092s
6	dynamic,64	20000000	0m0.095s
7	dynamic,64	20000000	0m0.089s
8	dynamic,64	20000000	0m0.086s
9	dynamic,64	20000000	0m0.099s
0	dynamic,64	200000000	0m0.859s
1	dynamic,64	200000000	0m0.854s
2	dynamic,64	200000000	0m0.859s
3	dynamic,64	200000000	0m0.860s
4	dynamic,64	200000000	0m0.859s
5	dynamic,64	200000000	0m0.865s
6	dynamic,64	200000000	0m0.860s
7	dynamic,64	200000000	0m0.870s
8	dynamic,64	200000000	0m0.859s
9	dynamic,64	200000000	0m0.867s
0	static,64	2	0m0.002s
1	static,64	2	0m0.010s
2	static,64	2	0m0.007s
3	static,64	2	0m0.002s
4	static,64	2	0m0.007s
5	static,64	2	0m0.003s
6	static,64	2	0m0.002s
7	static,64	2	0m0.003s
8	static,64	2	0m0.009s
9	static,64	2	0m0.007s
0	static,64	20	0m0.003s
1	static,64	20	0m0.007s
2	static,64	20	0m0.003s
3	static,64	20	0m0.010s
4	static,64	20	0m0.004s
5	static,64	20	0m0.003s
6	static,64	20	0m0.007s
7	static,64	20	0m0.012s
8	static,64	20	0m0.004s
9	static,64	20	0m0.008s
0	static,64	200	0m0.003s
1	static,64	200	0m0.003s
2	static,64	200	0m0.002s
3	static,64	200	0m0.002s
4	static,64	200	0m0.002s
5	static,64	200	0m0.008s
6	static,64	200	0m0.005s
7	static,64	200	0m0.002s
8	static,64	200	0m0.009s
9	static,64	200	0m0.003s
0	static,64	2000	0m0.002s
1	static,64	2000	0m0.009s
2	static,64	2000	0m0.012s
3	static,64	2000	0m0.008s
4	static,64	2000	0m0.012s
5	static,64	2000	0m0.004s
6	static,64	2000	0m0.008s
7	static,64	2000	0m0.009s
8	static,64	2000	0m0.004s
9	static,64	2000	0m0.010s
0	static,64	20000	0m0.002s
1	static,64	20000	0m0.007s
2	static,64	20000	0m0.003s
3	static,64	20000	0m0.012s
4	static,64	20000	0m0.003s
5	static,64	20000	0m0.002s
6	static,64	20000	0m0.002s
7	static,64	20000	0m0.008s
8	static,64	20000	0m0.003s
9	static,64	20000	0m0.004s
0	static,64	200000	0m0.004s
1	static,64	200000	0m0.004s
2	static,64	200000	0m0.008s
3	static,64	200000	0m0.013s
4	static,64	200000	0m0.013s
5	static,64	200000	0m0.012s
6	static,64	200000	0m0.013s
7	static,64	200000	0m0.012s
8	static,64	200000	0m0.010s
9	static,64	200000	0m0.004s
0	static,64	2000000	0m0.012s
1	static,64	2000000	0m0.011s
2	static,64	2000000	0m0.014s
3	static,64	2000000	0m0.016s
4	static,64	2000000	0m0.012s
5	static,64	2000000	0m0.020s
6	static,64	2000000	0m0.027s
7	static,64	2000000	0m0.023s
8	static,64	2000000	0m0.012s
9	static,64	2000000	0m0.012s
0	static,64	20000000	0m0.133s
1	static,64	20000000	0m0.098s
2	static,64	20000000	0m0.101s
3	static,64	20000000	0m0.099s
4	static,64	20000000	0m0.093s
5	static,64	20000000	0m0.109s
6	static,64	20000000	0m0.139s
7	static,64	20000000	0m0.095s
8	static,64	20000000	0m0.098s
9	static,64	20000000	0m0.141s
0	static,64	200000000	0m0.908s
1	static,64	200000000	0m0.937s
2	static,64	200000000	0m0.905s
3	static,64	200000000	0m0.876s
4	static,64	200000000	0m0.883s
5	static,64	200000000	0m0.919s
6	static,64	200000000	0m0.884s
7	static,64	200000000	0m0.897s
8	static,64	200000000	0m0.887s
9	static,64	200000000	0m0.913s
0	dynamic,4096	2	0m0.007s
1	dynamic,4096	2	0m0.010s
2	dynamic,4096	2	0m0.002s
3	dynamic,4096	2	0m0.008s
4	dynamic,4096	2	0m0.008s
5	dynamic,4096	2	0m0.020s
6	dynamic,4096	2	0m0.013s
7	dynamic,4096	2	0m0.027s
8	dynamic,4096	2	0m0.017s
9	dynamic,4096	2	0m0.002s
0	dynamic,4096	20	0m0.002s
1	dynamic,4096	20	0m0.007s
2	dynamic,4096	20	0m0.002s
3	dynamic,4096	20	0m0.002s
4	dynamic,4096	20	0m0.009s
5	dynamic,4096	20	0m0.002s
6	dynamic,4096	20	0m0.007s
7	dynamic,4096	20	0m0.009s
